Model,Negative F1,Neutral F1,Positive F1,Macro Avg F1
Naive Bayes,0.6098550724637681,0.6525751711818993,0.6721311475409836,0.644853797062217
Logistic Regression,0.6645333333333333,0.6813900617083468,0.7473583093179635,0.6977605681198812
Linear SVM,0.6605691056910569,0.6523224043715847,0.7271028037383177,0.6799981046003197
Random Forest,0.6792452830188679,0.6792712272258508,0.7570977917981072,0.7052047673476087
Gradient Boosting,0.5415584415584416,0.6666666666666666,0.6823406478578893,0.6301885853609991
